applicant_id,jurisdiction,region,age_group,employment_status,annual_income,debt_to_income,credit_history_years,missed_payments_12m,credit_utilization,existing_customer,customer_tenure_years,spending_volatility,requested_credit_limit,synthetic_group_proxy,prob_good_repayment,good_repayment_12m,policy_score,approval_decision
APP-00001,US,US_South,35-44,Self-employed,42190,0.538,13.1,1,0.461,0,0,0.465,9300,Group_A,0.6877,1,0.3128,Declined
APP-00002,EU,EU_South,45-54,Full-time,57712,0.059,16.8,0,0.406,0,0,0.272,5600,Group_A,0.9649,1,0.5636,Manual Review
APP-00003,EU,EU_West,45-54,Student,46287,0.271,12.5,4,0.212,1,5,0.552,11600,Group_C,0.7334,1,0.3819,Declined
APP-00004,EU,EU_Central,25-34,Self-employed,40142,0.34,6.4,1,0.181,0,0,0.762,7000,Group_A,0.8009,1,0.3761,Declined
APP-00005,US,US_Midwest,25-34,Full-time,123018,0.268,8.6,0,0.889,0,0,0.257,5700,Group_A,0.9366,1,0.5124,Manual Review
APP-00006,US,US_West,25-34,Unemployed,23683,0.61,1.5,0,0.895,1,1.6,0.436,3500,Group_B,0.1092,0,0,Declined
APP-00007,US,US_South,25-34,Full-time,77491,0.322,7.9,1,0.69,1,6.7,0.75,16400,Group_A,0.7811,0,0.447,Declined
APP-00008,EU,EU_West,25-34,Full-time,55133,0.606,9.4,0,0.62,1,5.9,0.247,8800,Group_B,0.8202,1,0.4245,Declined
APP-00009,EU,EU_South,35-44,Self-employed,116689,0.103,13.3,0,0.819,1,10.7,0.277,17600,Group_A,0.99,1,0.6083,Approved
APP-00010,EU,EU_West,18-24,Full-time,72572,0.16,5.6,0,0.376,0,0,0.117,16800,Group_A,0.9648,1,0.5931,Approved
APP-00011,US,US_South,18-24,Part-time,37139,0.513,3,2,0.894,1,4.4,0.539,5000,Group_A,0.3775,0,0.0728,Declined
APP-00012,EU,EU_North,25-34,Part-time,60192,0.176,8.6,0,0.572,1,6.2,0.438,10700,Group_A,0.9249,1,0.5273,Manual Review
APP-00013,EU,EU_South,35-44,Unemployed,29964,0.455,8.4,1,0.669,0,0,0.432,3400,Group_C,0.4011,0,0.2064,Declined
APP-00014,US,US_East,25-34,Full-time,95167,0.146,8.3,0,0.412,1,6.8,0.607,18200,Group_A,0.99,1,0.5554,Manual Review
APP-00015,US,US_Midwest,35-44,Full-time,77529,0.333,12.4,1,0.666,0,0,0.338,21500,Group_A,0.8915,1,0.4113,Declined
APP-00016,US,US_South,25-34,Part-time,46730,0.186,7.1,2,0.191,1,4.4,0.528,11700,Group_A,0.8314,1,0.4375,Declined
APP-00017,US,US_West,45-54,Full-time,84623,0.02,18.9,0,0.54,0,0,0.313,15100,Group_A,0.9894,1,0.6606,Approved
APP-00018,US,US_Midwest,55+,Full-time,62614,0.414,18.8,1,0.661,1,6.1,0.302,10000,Group_C,0.9161,1,0.4718,Declined
APP-00019,US,US_West,25-34,Full-time,54683,0.547,6.1,1,0.839,0,0,0.554,9800,Group_A,0.4772,1,0.1733,Declined
APP-00020,US,US_South,25-34,Full-time,77129,0.164,4.5,2,0.573,1,5.3,0.542,11800,Group_B,0.9285,1,0.4711,Declined
APP-00021,EU,EU_North,25-34,Full-time,125515,0.437,3.2,0,0.545,0,0,0.271,4300,Group_C,0.9416,1,0.5208,Manual Review
APP-00022,US,US_South,25-34,Student,46022,0.155,4.8,0,0.537,0,0,0.4,7800,Group_B,0.7389,1,0.3543,Declined
APP-00023,US,US_South,35-44,Student,20808,0.238,6.2,0,0.408,1,7.6,0.292,5100,Group_C,0.6739,1,0.2905,Declined
APP-00024,US,US_West,45-54,Full-time,171046,0.133,18.3,0,0.281,1,7.4,0.155,14600,Group_A,0.99,1,0.6722,Approved
APP-00025,US,US_East,35-44,Full-time,78220,0.145,11.1,1,0.362,0,0,0.232,15100,Group_A,0.9322,1,0.5431,Manual Review
APP-00026,EU,EU_North,45-54,Full-time,125477,0.336,14.9,0,0.3,1,10.1,0.549,21100,Group_A,0.99,1,0.6695,Approved
APP-00027,US,US_South,25-34,Student,18071,0.341,2.5,0,0.484,0,0,0.709,5400,Group_B,0.4524,1,0.1997,Declined
APP-00028,US,US_East,25-34,Full-time,74184,0.565,5,0,0.677,1,2.7,0.814,12400,Group_C,0.692,1,0.2916,Declined
APP-00029,EU,EU_North,45-54,Self-employed,100685,0.116,17.5,1,0.146,0,0,0.421,6500,Group_A,0.9601,1,0.5977,Approved
APP-00030,US,US_South,25-34,Full-time,32039,0.149,5.5,0,0.464,1,8.7,0.512,4000,Group_B,0.7676,1,0.4397,Declined
APP-00031,EU,EU_North,35-44,Self-employed,108359,0.131,9.4,0,0.257,1,9.5,0.336,24700,Group_A,0.9783,1,0.5947,Approved
APP-00032,US,US_Midwest,25-34,Full-time,114514,0.195,2.4,0,0.555,0,0,0.252,7200,Group_B,0.9238,1,0.488,Manual Review
APP-00033,US,US_East,18-24,Part-time,29527,0.268,3.9,1,0.465,0,0,0.648,7800,Group_A,0.5665,0,0.2772,Declined
APP-00034,EU,EU_West,55+,Full-time,141856,0.314,18.4,0,0.506,1,10,0.401,15000,Group_C,0.99,1,0.6023,Approved
APP-00035,EU,EU_South,25-34,Self-employed,52389,0.472,4.4,0,0.234,1,7.6,0.819,9000,Group_B,0.7073,1,0.3936,Declined
APP-00036,EU,EU_West,55+,Full-time,120789,0.117,21.3,1,0.297,0,0,0.092,14900,Group_A,0.99,1,0.6727,Approved
APP-00037,US,US_West,55+,Self-employed,27727,0.267,21.7,1,0.451,0,0,0.682,4500,Group_A,0.7846,1,0.409,Declined
APP-00038,US,US_South,45-54,Student,123635,0.659,17.9,2,0.696,1,11.3,0.493,21600,Group_A,0.9509,1,0.6048,Approved
APP-00039,EU,EU_West,35-44,Full-time,176913,0.523,8.2,2,0.514,1,7.9,0.527,18000,Group_A,0.982,1,0.5774,Manual Review
APP-00040,US,US_South,35-44,Student,34526,0.137,6.8,0,0.452,0,0,0.375,8600,Group_A,0.7893,1,0.3249,Declined
APP-00041,US,US_South,45-54,Self-employed,33595,0.12,13.8,0,0.099,1,6.5,0.457,6900,Group_C,0.8959,1,0.5586,Manual Review
APP-00042,US,US_West,25-34,Full-time,71139,0.164,8.3,0,0.357,0,0,0.385,13100,Group_B,0.899,1,0.4233,Declined
APP-00043,US,US_East,35-44,Full-time,47131,0.29,15.4,1,0.77,1,13.7,0.485,5800,Group_A,0.9019,1,0.525,Manual Review
